payload,time_since_boot_ms,time_since_transmission_init_ms,payload_size_bytes,rssi,rssi_corrected,kalman_rssi,sma_rssi,energy_per_packet_min_mj,energy_per_packet_max_mj,tx_interval_ms,timestamp,snr_db
CFG sf=8 sbw=62500 tp=2,,,23,-45.0,-37.5333,-45.1405,-45.4,,,,2025-12-19T18:20:37.381610,81.04
"1748431,100,8,EA,06,D6,40,46,9C,C5,41",1748431,878009,37,-64.0,-57.8000,-54.5703,-64.0,65.08,97.62,2889,2025-12-19T18:20:40.270610,62.04
"1749057,100,8,AB,65,F9,40,70,38,C3,41",1749057,880898,37,-63.0,-56.7333,-58.7851,-63.5,65.08,97.62,2890,2025-12-19T18:20:43.160610,63.04
"1751947,100,8,26,BE,ED,40,95,47,BF,41",1751947,883788,37,-63.0,-56.7333,-60.8926,-63.3,65.08,97.62,2892,2025-12-19T18:20:46.052610,63.04
"1754836,100,8,F3,B2,00,40,6E,89,B5,41",1754836,886680,37,-64.0,-57.8000,-62.4463,-63.5,65.08,97.62,2890,2025-12-19T18:20:48.942610,62.04
"1757725,100,8,4F,2E,F6,40,FF,08,AD,41",1757725,889570,37,-63.0,-56.7333,-62.7231,-63.2,65.08,97.62,2889,2025-12-19T18:20:51.831610,63.04
"1760614,100,8,46,E9,57,40,96,58,A6,41",1760614,892459,37,-64.0,-57.8000,-63.3616,-63.5,65.08,97.62,2886,2025-12-19T18:20:54.717610,62.04
"1763503,100,8,6B,93,AC,40,73,CC,A1,41",1763503,895345,37,-63.0,-56.7333,-63.1808,-63.5,65.08,97.62,2893,2025-12-19T18:20:57.610610,63.04
"1766392,100,8,1B,49,C6,40,9D,08,A0,41",1766392,898238,37,-63.0,-56.7333,-63.0904,-63.2,65.08,97.62,2876,2025-12-19T18:21:00.486610,63.04
"1769281,100,8,57,9F,23,40,88,F4,A0,41",1769281,901114,37,-63.0,-56.7333,-63.0452,-63.2,65.08,97.62,2893,2025-12-19T18:21:03.379610,63.04
"1772170,100,8,6F,B6,FF,40,58,80,A4,41",1772170,904007,37,-63.0,-56.7333,-63.0226,-63.0,65.08,97.62,2893,2025-12-19T18:21:06.272610,63.04
"1775059,100,8,E6,97,0C,40,61,B4,AA,41",1775059,906900,37,-63.0,-56.7333,-63.0113,-63.0,65.08,97.62,2886,2025-12-19T18:21:09.158610,63.04
"1777949,100,8,F3,3C,DB,40,E4,B0,B2,41",1777949,909786,37,-63.0,-56.7333,-63.0056,-63.0,65.08,97.62,2890,2025-12-19T18:21:12.048610,63.04
"1780838,100,8,B3,2E,94,40,18,1C,BC,41",1780838,912676,37,-63.0,-56.7333,-63.0028,-63.0,65.08,97.62,2890,2025-12-19T18:21:14.938610,63.04
"1783727,100,8,7B,07,72,40,E9,53,C6,41",1783727,915566,37,-63.0,-56.7333,-63.0014,-63.0,65.08,97.62,2887,2025-12-19T18:21:17.825610,63.04
"1786616,100,8,17,BD,E8,40,5C,0C,D1,41",1786616,918453,37,-63.0,-56.7333,-63.0007,-63.0,65.08,97.62,2888,2025-12-19T18:21:20.713610,63.04
"1789505,100,8,D1,BF,02,40,C7,C2,DA,41",1789505,921341,37,-63.0,-56.7333,-63.0004,-63.0,65.08,97.62,2888,2025-12-19T18:21:23.601610,63.04
