payload,time_since_boot_ms,time_since_transmission_init_ms,payload_size_bytes,rssi,rssi_corrected,kalman_rssi,sma_rssi,energy_per_packet_min_mj,energy_per_packet_max_mj,tx_interval_ms,timestamp,snr_db
CFG sf=8 sbw=62500 tp=2,,,23,-48.0,-40.7333,-47.1077,-47.2,,,,2025-12-14T18:22:21.487798,78.04
"90532858,100,8,F4,DE,31,40,77,54,CB,41",90532858,876821,38,-66.0,-59.9333,-56.5538,-66.0,65.08,97.62,2889,2025-12-14T18:22:24.376798,60.04
"90533476,100,8,B0,CA,89,40,08,EF,C8,41",90533476,879710,38,-66.0,-59.9333,-61.2769,-66.0,65.08,97.62,2889,2025-12-14T18:22:27.265798,60.04
"90536366,100,8,3D,97,E2,40,D2,EF,C4,41",90536366,882599,38,-66.0,-59.9333,-63.6385,-66.0,65.08,97.62,2885,2025-12-14T18:22:30.150798,60.04
"90539255,100,8,F9,95,8A,40,67,C9,BA,41",90539255,885484,38,-66.0,-59.9333,-64.8192,-66.0,65.08,97.62,2891,2025-12-14T18:22:33.041798,60.04
"90542144,100,8,81,5D,8B,40,F2,31,B1,41",90542144,888375,38,-66.0,-59.9333,-65.4096,-66.0,65.08,97.62,2883,2025-12-14T18:22:35.924798,60.04
"90545033,100,8,5A,03,E2,40,67,83,A9,41",90545033,891258,38,-66.0,-59.9333,-65.7048,-66.0,65.08,97.62,2892,2025-12-14T18:22:38.816798,60.04
"90547923,100,8,8A,01,07,40,7C,E1,A3,41",90547923,894150,38,-66.0,-59.9333,-65.8524,-66.0,65.08,97.62,2893,2025-12-14T18:22:41.709798,60.04
"90550811,100,8,95,81,FC,40,1F,AD,A0,41",90550811,897043,38,-66.0,-59.9333,-65.9262,-66.0,65.08,97.62,2888,2025-12-14T18:22:44.597798,60.04
"90553701,100,8,E6,AB,2E,40,B8,25,A0,41",90553701,899931,38,-66.0,-59.9333,-65.9631,-66.0,65.08,97.62,2883,2025-12-14T18:22:47.480798,60.04
"90556590,100,8,9E,EC,BD,40,5D,5E,A2,41",90556590,902814,38,-66.0,-59.9333,-65.9816,-66.0,65.08,97.62,2886,2025-12-14T18:22:50.366798,60.04
"90559479,100,8,75,61,B5,40,95,1E,A7,41",90559479,905700,38,-66.0,-59.9333,-65.9908,-66.0,65.08,97.62,2894,2025-12-14T18:22:53.260798,60.04
PACKET_LOST,90562373,908594,0,-66.0,-59.9333,-65.9954,-66.0,65.08,97.62,2882,2025-12-14T18:22:56.142798,60.04
"90565258,100,8,6C,BE,F9,40,56,25,B7,41",90565258,911476,38,-66.0,-59.9333,-65.9977,-66.0,65.08,97.62,2898,2025-12-14T18:22:59.040798,60.04
"90568147,100,8,AD,0D,03,40,C3,09,C1,41",90568147,914374,38,-65.0,-58.8667,-65.4988,-65.8,65.08,97.62,2886,2025-12-14T18:23:01.926798,61.04
"90571035,100,8,91,29,E8,40,FD,65,CB,41",90571035,917260,38,-66.0,-59.9333,-65.7494,-65.8,65.08,97.62,2885,2025-12-14T18:23:04.811798,60.04
"90573925,100,8,94,CD,82,40,BC,87,D5,41",90573925,920145,38,-66.0,-59.9333,-65.8747,-65.8,65.08,97.62,2889,2025-12-14T18:23:07.700798,60.04
"90576813,100,8,AE,4F,93,40,94,14,DF,41",90576813,923034,38,-66.0,-59.9333,-65.9374,-65.8,65.08,97.62,2891,2025-12-14T18:23:10.591798,60.04
