payload,time_since_boot_ms,time_since_transmission_init_ms,payload_size_bytes,rssi,rssi_corrected,kalman_rssi,sma_rssi,energy_per_packet_min_mj,energy_per_packet_max_mj,tx_interval_ms,timestamp,snr_db
CFG sf=10 sbw=62500 tp=2,,,24,-60.0,-53.5333,-58.522,-58.2,,,,2025-12-21T16:55:22.822502,66.04
"90626053,100,8,54,52,DF,40,01,EF,B8,41",90626053,5532587,38,-72.0,-66.3333,-65.2610,-72.0,260.33,390.50,9880,2025-12-21T16:55:32.702502,54.04
"90628181,100,8,0C,7F,85,40,47,B5,BC,41",90628181,5542467,38,-72.0,-66.3333,-68.6305,-72.0,260.33,390.50,9882,2025-12-21T16:55:42.584502,54.04
"90638061,100,8,55,42,2E,40,87,8E,C4,41",90638061,5552349,38,-72.0,-66.3333,-70.3152,-72.0,260.33,390.50,9879,2025-12-21T16:55:52.463502,54.04
"90647941,100,8,86,60,FE,40,DF,CC,E4,41",90647941,5562228,38,-72.0,-66.3333,-71.1576,-72.0,260.33,390.50,9876,2025-12-21T16:56:02.339502,54.04
"90657821,100,8,44,88,05,40,8B,A5,EF,41",90657821,5572104,38,-72.0,-66.3333,-71.5788,-72.0,260.33,390.50,9882,2025-12-21T16:56:12.221502,54.04
"90667701,100,8,F3,84,EB,40,3F,7D,DC,41",90667701,5581986,38,-72.0,-66.3333,-71.7894,-72.0,260.33,390.50,9878,2025-12-21T16:56:22.099502,54.04
"90677581,100,8,65,3C,67,40,73,D3,B9,41",90677581,5591864,38,-72.0,-66.3333,-71.8947,-72.0,260.33,390.50,9880,2025-12-21T16:56:31.979502,54.04
"90687461,100,8,37,5B,A5,40,AB,E3,A1,41",90687461,5601744,38,-72.0,-66.3333,-71.9474,-72.0,260.33,390.50,9887,2025-12-21T16:56:41.866502,54.04
"90697341,100,8,36,63,CB,40,9E,92,A6,41",90697341,5611631,38,-72.0,-66.3333,-71.9737,-72.0,260.33,390.50,9877,2025-12-21T16:56:51.743502,54.04
"90707221,100,8,2E,5A,2A,40,09,6E,C4,41",90707221,5621508,38,-72.0,-66.3333,-71.9868,-72.0,260.33,390.50,9882,2025-12-21T16:57:01.625502,54.04
"90717101,100,8,07,F6,FC,40,20,FD,E4,41",90717101,5631390,38,-72.0,-66.3333,-71.9934,-72.0,260.33,390.50,9878,2025-12-21T16:57:11.503502,54.04
"90726981,100,8,68,D9,02,40,0E,9C,EF,41",90726981,5641268,38,-72.0,-66.3333,-71.9967,-72.0,260.33,390.50,9883,2025-12-21T16:57:21.386502,54.04
"90736861,100,8,43,61,EF,40,31,41,DC,41",90736861,5651151,38,-72.0,-66.3333,-71.9984,-72.0,260.33,390.50,9877,2025-12-21T16:57:31.263502,54.04
