payload,time_since_boot_ms,time_since_transmission_init_ms,payload_size_bytes,rssi,rssi_corrected,kalman_rssi,sma_rssi,energy_per_packet_min_mj,energy_per_packet_max_mj,tx_interval_ms,timestamp,snr_db
CFG sf=8 sbw=250000 tp=22,,,25,-59.0,-52.4667,-57.9471,-57.8,,,,2025-12-20T23:02:21.531671,61.02
"26245970,100,8,91,93,66,40,E5,89,A6,41",26245970,2327208,38,-53.0,-46.0667,-55.4736,-53.0,43.40,48.83,729,2025-12-20T23:02:22.260671,67.02
"26247278,100,8,FE,B6,00,40,8F,84,A4,41",26247278,2327937,38,-54.0,-47.1333,-54.7368,-53.5,43.40,48.83,727,2025-12-20T23:02:22.987671,66.02
"26248008,100,8,1F,21,3C,40,6D,00,A3,41",26248008,2328664,38,-54.0,-47.1333,-54.3684,-53.7,43.40,48.83,729,2025-12-20T23:02:23.716671,66.02
"26248737,100,8,26,85,9A,40,6A,07,A2,41",26248737,2329393,38,-53.0,-46.0667,-53.6842,-53.5,43.40,48.83,735,2025-12-20T23:02:24.451671,67.02
"26249466,100,8,34,98,D1,40,D3,57,A1,41",26249466,2330128,38,-54.0,-47.1333,-53.8421,-53.8,43.40,48.83,726,2025-12-20T23:02:25.177671,66.02
"26250195,100,8,89,E2,FA,40,07,B8,A0,41",26250195,2330854,38,-54.0,-47.1333,-53.9210,-53.8,43.40,48.83,728,2025-12-20T23:02:25.905671,66.02
"26250924,100,8,40,6E,F9,40,7B,49,A0,41",26250924,2331582,38,-54.0,-47.1333,-53.9605,-53.8,43.40,48.83,728,2025-12-20T23:02:26.633671,66.02
"26251653,100,8,64,1A,D6,40,59,12,A0,41",26251653,2332310,38,-50.0,-42.8667,-51.9803,-53.0,43.40,48.83,725,2025-12-20T23:02:27.358671,70.02
"26252382,100,8,DA,4A,96,40,86,00,A0,41",26252382,2333035,38,-53.0,-46.0667,-52.4901,-52.8,43.40,48.83,730,2025-12-20T23:02:28.088671,67.02
"26253111,100,8,CA,1E,44,40,2C,19,A0,41",26253111,2333765,38,-53.0,-46.0667,-52.7451,-52.5,43.40,48.83,728,2025-12-20T23:02:28.816671,67.02
"26253840,100,8,67,C0,02,40,60,64,A0,41",26253840,2334493,38,-53.0,-46.0667,-52.8725,-52.2,43.40,48.83,730,2025-12-20T23:02:29.546671,67.02
"26254570,100,8,AF,63,1A,40,3D,E1,A0,41",26254570,2335223,38,-54.0,-47.1333,-53.4363,-53.2,43.40,48.83,730,2025-12-20T23:02:30.276671,66.02
"26255299,100,8,F3,2A,6E,40,57,73,A1,41",26255299,2335953,38,-54.0,-47.1333,-53.7181,-53.5,43.40,48.83,728,2025-12-20T23:02:31.004671,66.02
"26256028,100,8,EC,A6,B8,40,A2,4A,A2,41",26256028,2336681,38,-54.0,-47.1333,-53.8591,-53.8,43.40,48.83,731,2025-12-20T23:02:31.735671,66.02
"26256757,100,8,3E,A0,EE,40,36,51,A3,41",26256757,2337412,38,-54.0,-47.1333,-53.9295,-54.0,43.40,48.83,727,2025-12-20T23:02:32.462671,66.02
"26257486,100,8,7D,FE,FF,40,F1,56,A4,41",26257486,2338139,38,-53.0,-46.0667,-53.4648,-53.8,43.40,48.83,728,2025-12-20T23:02:33.190671,67.02
"26258215,100,8,42,1B,EA,40,BF,B1,A5,41",26258215,2338867,38,-53.0,-46.0667,-53.2324,-53.5,43.40,48.83,730,2025-12-20T23:02:33.920671,67.02
"26258944,100,8,5F,B4,BA,40,50,FD,A6,41",26258944,2339597,38,-52.0,-45.0000,-52.6162,-53.0,43.40,48.83,732,2025-12-20T23:02:34.652671,68.02
"26259673,100,8,AC,0A,72,40,7D,A6,A8,41",26259673,2340329,38,-54.0,-47.1333,-53.3081,-53.0,43.40,48.83,728,2025-12-20T23:02:35.380671,66.02
"26260402,100,8,D7,56,13,40,FA,76,AA,41",26260402,2341057,38,-53.0,-46.0667,-53.1540,-53.0,43.40,48.83,731,2025-12-20T23:02:36.111671,67.02
"26261131,100,8,5C,14,02,40,AD,22,AC,41",26261131,2341788,38,-53.0,-46.0667,-53.0770,-53.0,43.40,48.83,723,2025-12-20T23:02:36.834671,67.02
"26261861,100,8,62,E5,40,40,FD,35,AE,41",26261861,2342511,38,-54.0,-47.1333,-53.5385,-53.5,43.40,48.83,728,2025-12-20T23:02:37.562671,66.02
"26262590,100,8,EA,BE,9D,40,A4,69,B0,41",26262590,2343239,38,-54.0,-47.1333,-53.7693,-53.5,43.40,48.83,729,2025-12-20T23:02:38.291671,66.02
"26263319,100,8,8A,54,D4,40,6B,64,B2,41",26263319,2343968,38,-54.0,-47.1333,-53.8846,-53.8,43.40,48.83,728,2025-12-20T23:02:39.019671,66.02
"26264048,100,8,82,DF,FB,40,B1,CC,B4,41",26264048,2344696,38,-53.0,-46.0667,-53.4423,-53.8,43.40,48.83,736,2025-12-20T23:02:39.755671,67.02
"26264777,100,8,6D,8C,FB,40,34,F0,B6,41",26264777,2345432,38,-54.0,-47.1333,-53.7212,-53.8,43.40,48.83,724,2025-12-20T23:02:40.479671,66.02
"26265506,100,8,F7,67,D3,40,B1,82,B9,41",26265506,2346156,38,-53.0,-46.0667,-53.3606,-53.5,43.40,48.83,728,2025-12-20T23:02:41.207671,67.02
"26266235,100,8,2C,16,93,40,59,27,BC,41",26266235,2346884,38,-54.0,-47.1333,-53.6803,-53.5,43.40,48.83,730,2025-12-20T23:02:41.937671,66.02
"26266964,100,8,17,42,3F,40,4B,77,BE,41",26266964,2347614,38,-54.0,-47.1333,-53.8401,-53.8,43.40,48.83,727,2025-12-20T23:02:42.664671,66.02
"26267693,100,8,03,C5,01,40,D8,34,C1,41",26267693,2348341,38,-54.0,-47.1333,-53.9201,-53.8,43.40,48.83,733,2025-12-20T23:02:43.397671,66.02
"26268422,100,8,D4,BF,1D,40,E9,FA,C3,41",26268422,2349074,38,-54.0,-47.1333,-53.9600,-54.0,43.40,48.83,730,2025-12-20T23:02:44.127671,66.02
"26269152,100,8,D0,0D,74,40,B0,5F,C6,41",26269152,2349804,38,-53.0,-46.0667,-53.4800,-53.8,43.40,48.83,725,2025-12-20T23:02:44.852671,67.02
"26269881,100,8,F7,C1,BB,40,54,2C,C9,41",26269881,2350529,38,-53.0,-46.0667,-53.2400,-53.5,43.40,48.83,726,2025-12-20T23:02:45.578671,67.02
"26270610,100,8,BC,CC,EA,40,8E,91,CB,41",26270610,2351255,38,-54.0,-47.1333,-53.6200,-53.5,43.40,48.83,735,2025-12-20T23:02:46.313671,66.02
"26271339,100,8,C3,F9,FF,40,AD,58,CE,41",26271339,2351990,38,-52.0,-45.0000,-52.8100,-53.0,43.40,48.83,722,2025-12-20T23:02:47.035671,68.02
"26272068,100,8,3F,03,E8,40,D7,17,D1,41",26272068,2352712,38,-53.0,-46.0667,-52.9050,-53.0,43.40,48.83,729,2025-12-20T23:02:47.764671,67.02
"26272797,100,8,CD,96,B7,40,9B,69,D3,41",26272797,2353441,38,-54.0,-47.1333,-53.4525,-53.2,43.40,48.83,731,2025-12-20T23:02:48.495671,66.02
"26273526,100,8,AD,2F,6C,40,E5,10,D6,41",26273526,2354172,38,-54.0,-47.1333,-53.7263,-53.2,43.40,48.83,728,2025-12-20T23:02:49.223671,66.02
"26274255,100,8,FF,9C,10,40,8C,A6,D8,41",26274255,2354900,38,-54.0,-47.1333,-53.8631,-53.8,43.40,48.83,730,2025-12-20T23:02:49.953671,66.02
"26274984,100,8,6D,22,03,40,2F,CD,DA,41",26274984,2355630,38,-54.0,-47.1333,-53.9316,-54.0,43.40,48.83,732,2025-12-20T23:02:50.685671,66.02
"26275713,100,8,71,CE,45,40,8F,39,DD,41",26275713,2356362,38,-54.0,-47.1333,-53.9658,-54.0,43.40,48.83,720,2025-12-20T23:02:51.405671,66.02
"26276443,100,8,B5,62,97,40,3E,38,DF,41",26276443,2357082,38,-54.0,-47.1333,-53.9829,-54.0,43.40,48.83,734,2025-12-20T23:02:52.139671,66.02
"26277172,100,8,B9,01,D7,40,DF,70,E1,41",26277172,2357816,38,-54.0,-47.1333,-53.9914,-54.0,43.40,48.83,730,2025-12-20T23:02:52.869671,66.02
"26277901,100,8,E2,C1,FC,40,9B,89,E3,41",26277901,2358546,38,-54.0,-47.1333,-53.9957,-54.0,43.40,48.83,727,2025-12-20T23:02:53.596671,66.02
"26278630,100,8,78,86,FA,40,46,3A,E5,41",26278630,2359273,38,-53.0,-46.0667,-53.4979,-53.8,43.40,48.83,731,2025-12-20T23:02:54.327671,67.02
