payload,time_since_boot_ms,time_since_transmission_init_ms,payload_size_bytes,rssi,rssi_corrected,kalman_rssi,sma_rssi,energy_per_packet_min_mj,energy_per_packet_max_mj,tx_interval_ms,timestamp,snr_db
CFG sf=7 sbw=250000 tp=22,,,25,-43.0,-35.4000,-42.6708,-42.8,,,,2025-12-11T15:02:32.621373,77.02
"855139,100,8,5F,2F,E1,40,0F,24,AE,41",855139,773844,36,-42.0,-34.3333,-42.3354,-42.0,23.34,26.25,400,2025-12-11T15:02:33.021373,78.02
"855858,100,8,24,42,FF,40,D9,11,AC,41",855858,774244,36,-42.0,-34.3333,-42.1677,-42.0,23.34,26.25,402,2025-12-11T15:02:33.423373,78.02
"856258,100,8,6F,60,FC,40,6F,F2,AA,41",856258,774646,36,-42.0,-34.3333,-42.0838,-42.0,23.34,26.25,396,2025-12-11T15:02:33.819373,78.02
"856658,100,8,BA,87,F0,40,A8,22,AA,41",856658,775042,36,-42.0,-34.3333,-42.0419,-42.0,23.34,26.25,405,2025-12-11T15:02:34.224373,78.02
"857058,100,8,B1,D2,D5,40,5B,18,A9,41",857058,775447,36,-42.0,-34.3333,-42.0210,-42.0,23.34,26.25,404,2025-12-11T15:02:34.628373,78.02
"857458,100,8,6A,ED,BB,40,EA,58,A8,41",857458,775851,36,-42.0,-34.3333,-42.0105,-42.0,23.34,26.25,388,2025-12-11T15:02:35.016373,78.02
"857858,100,8,9D,F4,95,40,08,65,A7,41",857858,776239,36,-42.0,-34.3333,-42.0052,-42.0,23.34,26.25,402,2025-12-11T15:02:35.418373,78.02
"858258,100,8,90,23,63,40,80,7E,A6,41",858258,776641,36,-42.0,-34.3333,-42.0026,-42.0,23.34,26.25,397,2025-12-11T15:02:35.815373,78.02
"858658,100,8,CE,9F,35,40,97,DA,A5,41",858658,777038,36,-42.0,-34.3333,-42.0013,-42.0,23.34,26.25,401,2025-12-11T15:02:36.216373,78.02
"859058,100,8,12,B7,0C,40,4D,0C,A5,41",859058,777439,36,-42.0,-34.3333,-42.0007,-42.0,23.34,26.25,397,2025-12-11T15:02:36.613373,78.02
"859458,100,8,73,1C,00,40,54,4C,A4,41",859458,777836,36,-42.0,-34.3333,-42.0003,-42.0,23.34,26.25,404,2025-12-11T15:02:37.017373,78.02
"859858,100,8,9E,9C,0A,40,ED,C5,A3,41",859858,778240,36,-42.0,-34.3333,-42.0002,-42.0,23.34,26.25,403,2025-12-11T15:02:37.420373,78.02
"860258,100,8,6E,71,31,40,BB,1F,A3,41",860258,778643,36,-42.0,-34.3333,-42.0001,-42.0,23.34,26.25,397,2025-12-11T15:02:37.817373,78.02
"860658,100,8,EF,C7,6E,40,A2,88,A2,41",860658,779040,36,-42.0,-34.3333,-42.0000,-42.0,23.34,26.25,407,2025-12-11T15:02:38.224373,78.02
"861058,100,8,30,E9,92,40,5F,21,A2,41",861058,779447,36,-42.0,-34.3333,-42.0000,-42.0,23.34,26.25,398,2025-12-11T15:02:38.622373,78.02
"861458,100,8,AC,FA,B8,40,45,A5,A1,41",861458,779845,36,-42.0,-34.3333,-42.0000,-42.0,23.34,26.25,389,2025-12-11T15:02:39.011373,78.02
"861858,100,8,9A,41,D3,40,7E,52,A1,41",861858,780234,36,-42.0,-34.3333,-42.0000,-42.0,23.34,26.25,398,2025-12-11T15:02:39.409373,78.02
"862258,100,8,DC,D1,EE,40,00,F2,A0,41",862258,780632,36,-42.0,-34.3333,-42.0000,-42.0,23.34,26.25,399,2025-12-11T15:02:39.808373,78.02
"862658,100,8,7B,F0,FD,40,7F,A1,A0,41",862658,781031,36,-42.0,-34.3333,-42.0000,-42.0,23.34,26.25,398,2025-12-11T15:02:40.206373,78.02
"863058,100,8,17,97,FF,40,B2,6F,A0,41",863058,781429,36,-42.0,-34.3333,-42.0000,-42.0,23.34,26.25,397,2025-12-11T15:02:40.603373,78.02
"863458,100,8,03,98,F4,40,7B,3B,A0,41",863458,781826,36,-42.0,-34.3333,-42.0000,-42.0,23.34,26.25,407,2025-12-11T15:02:41.010373,78.02
"863858,100,8,ED,3D,DC,40,8D,17,A0,41",863858,782233,36,-42.0,-34.3333,-42.0000,-42.0,23.34,26.25,400,2025-12-11T15:02:41.410373,78.02
"864258,100,8,61,76,C3,40,54,07,A0,41",864258,782633,36,-42.0,-34.3333,-42.0000,-42.0,23.34,26.25,404,2025-12-11T15:02:41.814373,78.02
"864658,100,8,4E,EC,9D,40,06,00,A0,41",864658,783037,36,-42.0,-34.3333,-42.0000,-42.0,23.34,26.25,396,2025-12-11T15:02:42.210373,78.02
"865058,100,8,57,6C,71,40,1A,09,A0,41",865058,783433,36,-42.0,-34.3333,-42.0000,-42.0,23.34,26.25,393,2025-12-11T15:02:42.603373,78.02
"865458,100,8,7F,29,41,40,A7,1A,A0,41",865458,783826,36,-42.0,-34.3333,-42.0000,-42.0,23.34,26.25,406,2025-12-11T15:02:43.009373,78.02
"865858,100,8,47,0B,13,40,58,40,A0,41",865858,784232,36,-42.0,-34.3333,-42.0000,-42.0,23.34,26.25,397,2025-12-11T15:02:43.406373,78.02
"866258,100,8,C5,21,02,40,4E,67,A0,41",866258,784629,36,-42.0,-34.3333,-42.0000,-42.0,23.34,26.25,399,2025-12-11T15:02:43.805373,78.02
"866658,100,8,40,02,06,40,6E,A9,A0,41",866658,785028,36,-42.0,-34.3333,-42.0000,-42.0,23.34,26.25,394,2025-12-11T15:02:44.199373,78.02
"867058,100,8,E5,3F,27,40,AB,FB,A0,41",867058,785422,36,-42.0,-34.3333,-42.0000,-42.0,23.34,26.25,407,2025-12-11T15:02:44.606373,78.02
