payload,time_since_boot_ms,time_since_transmission_init_ms,payload_size_bytes,rssi,rssi_corrected,kalman_rssi,sma_rssi,energy_per_packet_min_mj,energy_per_packet_max_mj,tx_interval_ms,timestamp,snr_db
CFG sf=8 sbw=250000 tp=22,,,25,-50.0,-42.8667,-49.4746,-49.8,,,,2025-12-13T17:56:09.354921,70.02
"2560097,100,8,CA,FB,97,40,74,3D,DF,41",2560097,2323010,37,-45.0,-37.5333,-47.2373,-45.0,43.40,48.83,729,2025-12-13T17:56:10.083921,75.02
"2561407,100,8,F3,2A,EC,40,C7,5F,E2,41",2561407,2323739,37,-45.0,-37.5333,-46.1187,-45.0,43.40,48.83,735,2025-12-13T17:56:10.818921,75.02
"2562136,100,8,81,1E,FD,40,68,F8,E4,41",2562136,2324474,37,-45.0,-37.5333,-45.5593,-45.0,43.40,48.83,720,2025-12-13T17:56:11.538921,75.02
"2562865,100,8,CC,AC,DF,40,74,92,E6,41",2562865,2325194,37,-45.0,-37.5333,-45.2797,-45.0,43.40,48.83,735,2025-12-13T17:56:12.273921,75.02
"2563595,100,8,1F,6B,A2,40,25,4D,E8,41",2563595,2325929,37,-45.0,-37.5333,-45.1398,-45.0,43.40,48.83,733,2025-12-13T17:56:13.006921,75.02
"2564324,100,8,85,0C,48,40,55,DF,E9,41",2564324,2326662,37,-45.0,-37.5333,-45.0699,-45.0,43.40,48.83,726,2025-12-13T17:56:13.732921,75.02
"2565053,100,8,72,59,08,40,54,16,EB,41",2565053,2327388,37,-44.0,-36.4667,-44.5350,-44.8,43.40,48.83,721,2025-12-13T17:56:14.453921,76.02
"2565783,100,8,1C,75,0F,40,3B,58,EC,41",2565783,2328109,37,-44.0,-36.4667,-44.2675,-44.5,43.40,48.83,732,2025-12-13T17:56:15.185921,76.02
"2566512,100,8,A2,98,69,40,8F,6C,ED,41",2566512,2328841,37,-46.0,-38.6000,-45.1337,-44.8,43.40,48.83,736,2025-12-13T17:56:15.921921,74.02
"2567241,100,8,29,C0,AC,40,1B,34,EE,41",2567241,2329577,37,-46.0,-38.6000,-45.5669,-45.0,43.40,48.83,736,2025-12-13T17:56:16.657921,74.02
"2567972,100,8,98,0C,E7,40,62,F0,EE,41",2567972,2330313,37,-45.0,-37.5333,-45.2834,-45.2,43.40,48.83,722,2025-12-13T17:56:17.379921,75.02
"2568702,100,8,A5,EE,FF,40,D6,7B,EF,41",2568702,2331035,37,-45.0,-37.5333,-45.1417,-45.5,43.40,48.83,729,2025-12-13T17:56:18.108921,75.02
"2569430,100,8,89,36,F1,40,FB,CB,EF,41",2569430,2331764,37,-45.0,-37.5333,-45.0709,-45.2,43.40,48.83,728,2025-12-13T17:56:18.836921,75.02
"2570160,100,8,32,23,BD,40,22,FB,EF,41",2570160,2332492,37,-45.0,-37.5333,-45.0354,-45.0,43.40,48.83,728,2025-12-13T17:56:19.564921,75.02
"2570889,100,8,4C,66,84,40,A5,FB,EF,41",2570889,2333220,37,-45.0,-37.5333,-45.0177,-45.0,43.40,48.83,730,2025-12-13T17:56:20.294921,75.02
"2571619,100,8,04,50,1F,40,B2,CD,EF,41",2571619,2333950,37,-45.0,-37.5333,-45.0089,-45.0,43.40,48.83,735,2025-12-13T17:56:21.029921,75.02
"2572348,100,8,55,66,01,40,D6,6D,EF,41",2572348,2334685,37,-45.0,-37.5333,-45.0044,-45.0,43.40,48.83,716,2025-12-13T17:56:21.745921,75.02
"2573077,100,8,F4,C1,2F,40,4C,F4,EE,41",2573077,2335401,37,-45.0,-37.5333,-45.0022,-45.0,43.40,48.83,741,2025-12-13T17:56:22.486921,75.02
"2573807,100,8,13,A8,91,40,2E,39,EE,41",2573807,2336142,37,-44.0,-36.4667,-44.5011,-44.8,43.40,48.83,721,2025-12-13T17:56:23.207921,76.02
"2574536,100,8,22,2E,D2,40,22,4E,ED,41",2574536,2336863,37,-45.0,-37.5333,-44.7506,-44.8,43.40,48.83,734,2025-12-13T17:56:23.941921,75.02
"2575266,100,8,5C,A0,F7,40,62,5F,EC,41",2575266,2337597,37,-46.0,-38.6000,-45.3753,-45.0,43.40,48.83,716,2025-12-13T17:56:24.657921,74.02
"2575995,100,8,1D,48,FC,40,8E,1E,EB,41",2575995,2338313,37,-45.0,-37.5333,-45.1876,-45.0,43.40,48.83,735,2025-12-13T17:56:25.392921,75.02
"2576723,100,8,30,39,DD,40,73,E8,E9,41",2576723,2339048,37,-46.0,-38.6000,-45.5938,-45.5,43.40,48.83,729,2025-12-13T17:56:26.121921,74.02
"2577453,100,8,B6,30,9F,40,41,57,E8,41",2577453,2339777,37,-46.0,-38.6000,-45.7969,-45.8,43.40,48.83,727,2025-12-13T17:56:26.848921,74.02
"2578182,100,8,74,13,43,40,82,9D,E6,41",2578182,2340504,37,-45.0,-37.5333,-45.3985,-45.5,43.40,48.83,735,2025-12-13T17:56:27.583921,75.02
